"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm"
"1027932520389783107","Prime New Farm Spot, Bright 2 Bedroom Apartment","80850508","Liz","99","New Farm","-27.46017770737855","153.04068637497232","Entire home/apt","200","1","1","2024-01-03","0.19","1","21","1"
"1028465937920824830","Brand New Micro Apartment for 2 (Orchid)","539943644","Priscilla","155","Wynnum","-27.438669814485166","153.16221637523046","Private room","105","2","8","2024-04-30","1.3","3","39","8"
"1028626696870774258","Ascot Vintage 4BR Queenslander w/ Mall at Doorstep","97177917","Olivia","6","Ascot","-27.432848554734143","153.06503901397872","Entire home/apt","294","2","7","2024-05-23","1.49","81","214","7"
"1028671581450652635","Modern 2BR/ Close to everything/Free carpark","97177917","Olivia","125","South Brisbane","-27.476377301103582","153.0163616506383","Entire home/apt","217","1","14","2024-06-01","2.12","81","168","14"
"1028686925708790276","Hidden 2BR1BA Apt w parking walk to Westfield","166518895","Alice","37","Chermside","-27.38656146750479","153.02871913439108","Entire home/apt","150","2","5","2024-05-02","1.17","41","42","5"
"1028734637328902286","Fabulous House with Pool, Master Bedroom","15162779","Pandora","92","Moorooka","-27.52606600183418","153.0221470564765","Private room","62","28","2","2024-02-25","0.39","2","180","2"
"1028741056563737270","Stay with Davina","124113984","Davina","136","The Gap","-27.454339673222467","152.94173175472596","Private room","110","1","2","2024-05-19","0.48","1","226","2"
"1028757806045400456","Moon house","547335325","Qianru","131","Sunnybank","-27.57447713722689","153.05431887771104","Private room","58","1","11","2024-03-09","1.68","2","18","11"
"1028768954833764428","Old Cleveland Views","13242474","Joanne","42","Coorparoo","-27.499814119204306","153.0513896307573","Entire home/apt","295","2","1","2024-05-20","1","1","308","1"
"1028824163627732710","New York warehouse in Teneriffe!","10687550","Luxury Holiday Homes","101","Newstead - Bowen Hills","-27.45617303001382","153.04979380220175","Entire home/apt","293","2","9","2024-05-20","1.44","6","178","9"
"1028827997349774519","New room in the new house with new bed","546593361","Angelina","132","Sunnybank Hills","-27.59423787437337","153.04662932955853","Private room","60","1","16","2024-05-20","2.57","9","271","16"
"1028904979365478784","Room in Dapper&Spacious Apt 4k from CBD","525276944","Falk","100","Newmarket","-27.431590256973863","153.00769158583145","Private room","90","1","4","2024-05-27","1.76","1","87","4"
"1029253615808736110","Private Rm9 in spacious house.","439575394","Yanming","150","Windsor","-27.4375788","153.0323464","Private room","99","1","2","2024-03-20","0.31","10","35","2"
"1029291353805637253","Cozy & Comfy 2BR Apt w/ Parking, Balcony & Wi-Fi","78924442","Lee And Bella","153","Woolloongabba","-27.490912343167768","153.03701245003725","Entire home/apt","179","1","11","2024-05-18","1.75","228","356","11"
"1029344517458161257","2 Bedrooms! Air-con! Long Garage! Shops! Freeway!","525145710","Smart-Suites","117","Rocklea - Acacia Ridge","-27.544633793238408","153.01049220893532","Entire home/apt","129","1","11","2024-05-19","1.67","66","145","11"
"1029347287570304123","Ideal Cozy 1BR for your Urban Escape in Gabba","97177917","Olivia","153","Woolloongabba","-27.49294857970486","153.04113374318004","Entire home/apt","153","2","4","2024-05-26","1.82","81","343","4"
"1029362767864503015","Hidden Oasis! 2Bed/2Bath/1Car ~ 5 mins to CBD","3384506","Andy","58","Fortitude Valley","-27.460255890106577","153.0371526768272","Entire home/apt","290","14","28","2024-06-01","4.31","105","83","28"
"1029366257389275802","Comfy & Cozy 1BR Apt w/ Parking, WiFi & Study Desk","78924442","Lee And Bella","153","Woolloongabba","-27.49123","153.03732","Entire home/apt","138","1","9","2024-05-20","1.44","228","346","9"
"1029442798302796147","Super Host! Aircon! Shops! Freeway Access! Garage!","525145710","Smart-Suites","117","Rocklea - Acacia Ridge","-27.54629049949681","153.01049891106177","Entire home/apt","150","1","1","2024-05-20","1","66","145","1"
"1029454119057785265","Cottage on the Bay","133516865","Amanda-Gavin","121","Sandgate - Shorncliffe","-27.31839968501269","153.07154395315206","Entire home/apt","199","1","29","2024-06-03","5.34","2","53","29"
