"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"937542023830128918","Stunning Portside 2BR Apartment, Free Parking","382384057","360 (Hidden By Airbnb)",NULL,"Hamilton (Qld)","-27.439260062899347","153.07050115731147","Entire home/apt","138","4","31","2024-05-31","2.89","6","13","31",NULL
"937831852198169492","Brisbane Riverfront Oasis 2Bed Panoramic RiverView","106436754","Yorke",NULL,"Brisbane City","-27.470906320743367","153.0214507893781","Entire home/apt","305","1","26","2024-05-16","2.47","23","174","26",NULL
"937841931236566339","Affordable Spacious Queen & Single Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.480672852581716","153.03410611484838","Entire home/apt","181","1","0",NULL,NULL,"18","364","0",NULL
"937878785016553773","Chestnut Residences","38120934","Lauren",NULL,"Wynnum","-27.4472812","153.1738729","Entire home/apt","317","1","33","2024-05-19","3.39","1","188","33",NULL
"937913071190925542","Affordable Spacious Queen & Single Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.47978499347021","153.03598215651158","Entire home/apt","181","1","3","2023-09-23","0.3","18","364","3",NULL
"937927588741446960","Budget-Friendly Spacious Queen Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.480721513047257","153.0339041914202","Entire home/apt","162","1","2","2024-03-23","0.64","18","363","2",NULL
"937939762343374353","Budget-Friendly Spacious Queen Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.480326175330863","153.035478503752","Entire home/apt","162","1","0",NULL,NULL,"18","363","0",NULL
"937951856582421513","Affordable Spacious Queen & 2 Single Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.479568963797227","153.03562110248723","Entire home/apt","190","1","15","2024-05-20","1.43","18","361","15",NULL
"937989373429467178","Ultimate Inner City Lifestyle!","10687550","Luxury Holiday Homes",NULL,"Fortitude Valley","-27.45699","153.04154","Entire home/apt","603","1","32","2024-05-26","3.43","6","97","32",NULL
"937990130474001276","Modern Newstead Apt w Huge Balcony, Pool & Parking","78924442","Lee And Bella",NULL,"Newstead - Bowen Hills","-27.449929542642415","153.04471291825664","Entire home/apt","159","1","27","2024-05-17","2.56","228","337","27",NULL
"937992506458189500","Sub-penthouse in the heart!","10687550","Luxury Holiday Homes",NULL,"Kangaroo Point","-27.4787024","153.0346794","Entire home/apt","586","2","21","2024-05-20","2.11","6","84","21",NULL
"938520236897013829","Sands On Moreton","30558520","Paula",NULL,"Moreton Island","-27.179846161511826","153.37559912207132","Entire home/apt","540","3","6","2024-04-20","0.65","28","192","6",NULL
"938560960180852139","Riverfront Flow—Poolside & Portside in Hamilton","519005019","Rudi And Ish",NULL,"Hamilton (Qld)","-27.440263","153.068231","Entire home/apt","157","2","18","2024-05-31","1.69","28","285","18",NULL
"938640959267486278","CBD 2bds Apt w BNE River view","27151351","Queenie",NULL,"Brisbane City","-27.470502658491633","153.02193135023117","Entire home/apt","302","1","37","2024-06-03","3.68","1","96","37",NULL
"938673335602295097","Entertain every family member!","44134952","Sally",NULL,"Wynnum","-27.42647113261073","153.16590709256118","Entire home/apt","1350","7","1","2024-01-04","0.19","1","26","1",NULL
"938729799540084193","City View Delight One Bedroom Sky-High Sanctuary","405875528","Neil",NULL,"South Brisbane","-27.4744684","153.0159662","Entire home/apt","368","2","10","2024-03-07","1","7","31","10",NULL
"938871698989454986","Eclectic Design Apartment 2 Bed","491228318","Ian",NULL,"Balmoral","-27.462411874844975","153.0656500399174","Entire home/apt","366","3","7","2024-05-20","0.67","2","233","7",NULL
"939350607341389403","Stylish 2BR Apt in New Farm w/ Car Park & Balcony","78924442","Lee And Bella",NULL,"New Farm","-27.464865962197337","153.0436622779052","Entire home/apt","144","1","24","2024-05-18","2.38","228","362","24",NULL
"939360938724305217","Skyline Heights 3Beds Panoramic view FreeParking","106436754","Yorke",NULL,"Brisbane City","-27.47254686805823","153.02842349186326","Entire home/apt","342","1","25","2024-05-19","2.34","23","124","25",NULL
"939459194171341244","游子居","373207889","Joy",NULL,"Coopers Plains","-27.572314240843333","153.04432041943073","Private room",NULL,"2","10","2023-10-01","0.94","1","0","10",NULL
"940426113011638100","Luxury River view holiday home","178075445","Faezeh",NULL,"Kangaroo Point","-27.476605","153.0396398","Entire home/apt","231","2","22","2024-06-04","6.06","1","54","22",NULL
"940817212411660134","Cfamily 8N02 single bedroom Robertson","12037538","Cfamily",NULL,"Robertson","-27.569606869485003","153.05972417587083","Private room","55","28","3","2023-11-18","0.32","31","73","3",NULL
"940833446949583990","Great Views, Pool,  High Level Apt w/ Carpark","462793159","Mia",NULL,"South Brisbane","-27.473721810357","153.01343415603367","Entire home/apt","193","1","46","2024-05-25","4.42","23","67","46",NULL
"941504704139220053","Premium 1BR in 5 star CBD hotel by S&P Apartments","107495368","Philip",NULL,"Brisbane City","-27.4711216","153.026589","Entire home/apt","225","3","9","2024-04-21","1.22","12","52","9",NULL
"941727663814916973","Room","435650789","Alex",NULL,"Paddington - Milton","-27.46994","153.00358","Private room","90","3","27","2024-05-20","2.7","1","79","27",NULL
"941774914165688013","Quite relaxed household.","25337928","Ross",NULL,"Coopers Plains","-27.562316644274517","153.04294846951962","Private room","65","7","8","2024-05-20","0.78","1","34","8",NULL
"942250426350763812","Executive Riverfront Apartment","101930591","Tania",NULL,"Hamilton (Qld)","-27.44008054934643","153.06713269488785","Entire home/apt","275","7","0",NULL,NULL,"1","127","0",NULL
"942354950717083405","The Coterie Apartments - 1 Bedroom Deluxe Apartmen","523555516","Julius",NULL,"Fortitude Valley","-27.4557387","153.0321368","Entire home/apt","150","2","6","2024-04-14","0.67","2","318","6",NULL
"942485520365829398","1 Bed Apt @ St Cath's Cottage","69451537","Rebecca",NULL,"Wynnum","-27.438916660333845","153.17291506151793","Entire home/apt","120","2","6","2024-05-12","0.63","4","62","6",NULL
