"id","host_id","host_name","bedrooms","bathrooms","price","availability_90","reviews_per_month"
"834948067209728693","502803236","Billy","2","2","236.00","71","0.07"
"1104840902900278540","565272044","Bj","2","1","250.00","76","1.62"
"864763173125048229","48198115","Blake","4","2.5","145.00","5",NULL
"1140082589868073605","541184270","Blake","3","1","112.00","66",NULL
"1125998264771777038","21266571","Bobby","2","2.5","200.00","84",NULL
"934171654548122333","8598038","Bonnie & Toby","2","1","350.00","90","0.72"
"28228828","22459066","Brad","2","1","124.00","61","6.88"
"749616797046271028","485742722","Brad And Milly","3","2","519.00","67","1.51"
"852378429663493046","22466894","Breeze On River","4","2","399.00","89","0.14"
"25223685","22466894","Breeze On River","3","1.5","309.00","72","0.89"
"1139438646190706701","573115755","Brendan","3","2","442.00","89",NULL
"1148311697503429968","573115755","Brendan","3","1","120.00","89",NULL
"1143243776165670637","573115755","Brendan","3","2","99.00","89",NULL
"1017981880720574980","154172599","Brett","2","2","339.00","56","2.05"
"912775457605914533","33408091","Brett","2","2.5","99.00","83","0.84"
"1025763775625417745","83433307","Brian","2","1","246.00","81","6.35"
"616145064852607971","83433307","Brian","2","1","224.00","71","7.27"
"5021803","23125742","Brian (& Marie)","2","2","185.00","38","0.11"
"13064069","56413524","Brisbane Holiday Village","3","2","363.00","38","0.12"
"49781031","56413524","Brisbane Holiday Village","2","1","259.00","79","0.45"
"830117468604363132","10277560","Brooke","2","1","180.00","23","0.73"
"696776401844447208","184162074","Brooke & Mark","2","2","179.00","38","1.52"
"1092370577891885479","46505576","Brookfield Retreat","9","5.5","2671.00","25",NULL
"32453861","46505576","Brookfield Retreat","9","4.5","1150.00","25","0.27"
"790150566818608476","46505576","Brookfield Retreat","9","5.5","1000.00","25","0.2"
"11989216","46505576","Brookfield Retreat","7","3.5","900.00","25","1.77"
"22379534","163654539","Bryant","2","1.5","136.00","48","3.36"
"1142557234096544750","372235013","Busi","5","4","1500.00","77","1"
"719139217130076238","26464082","Caddy","2","1.5","187.00","13","1.44"
"21756228","22772081","Cait","3","3","471.00","55","4.7"
"990054220905988007","209224206","Camilla","2","1","132.00","26","5"
"45975844","268178228","Campbell","2","1","603.00","81","0.29"
"53407124","164771379","Cara","4","1","180.00","82","1.26"
"598853267033130865","164771379","Cara","4","2","169.00","82","1.53"
"709726261156297233","164771379","Cara","4","2","161.00","82","0.97"
"855909989984335223","164771379","Cara","3","1","160.00","39","1.9"
"1113904530107956198","164771379","Cara","4","2","157.00","64","2.96"
"39951381","164771379","Cara","4","2.5","156.00","72","1.38"
"39610369","164771379","Cara","5","2","150.00","76","0.65"
"43750155","164771379","Cara","2","2","141.00","57","3.94"
"43250735","164771379","Cara","3","1","126.00","81","1.13"
"1103392501917465838","21790626","Caragh","3","1.5","300.00","13",NULL
"39755797","27672433","Carly","5","2","643.00","83","0.04"
"964164517171831134","6065365","Carly","2","2","229.00","12","1.85"
"839547242671246862","248505326","Carol","3","1.5","260.00","52","1.75"
"13348043","34883700","Caroline","3","1","259.00","23","1.32"
"949420085068795830","174134344","Caroline","2","2","115.00","15",NULL
"14674411","85980641","Carolyn","2","1.5","210.00","13","1.7"
"52722823","426824355","Carolyn","2","1","136.00","13","3.08"
"48472484","263811162","Carr","3","3","583.00","32","0.31"
"48472505","263811162","Carr","2","2","460.00","50","2.01"
"53241122","420042940","Casey","2","1","399.00","46","0.5"
"741766002532349628","67096177","Cassie","5","3","753.00","62","2.26"
"1109249195267821645","33422721","Cassie","4","2","328.00","35",NULL
"801284661586817623","33422721","Cassie","2","1","176.00","36","2.45"
"799737194604109155","33422721","Cassie","2","1","151.00","46","3.1"
"675051688028433460","99329861","Cathy","2","2","114.00","62","2.71"
"1158503527934072988","43035366","Celeste","2","2","205.00","81",NULL
"771273752976186536","489653425","Celeste","2","1","110.00","18","6.58"
"43886833","47291422","Chad","2","1","107.00","89",NULL
"800897666454319642","491627671","Chao Yi","2","2","176.00","53","0.42"
"858904527281741026","85812545","Char And Carmelo","4","1.5","230.00","26","0.98"
"1168681640615535232","7857479","Charity","3","2","176.00","82",NULL
"1005294914473708178","542479151","Charlotte","3","2","325.00","31","1.21"
"35385077","98433398","Chasely Apartments","2","2","120.00","75","0.08"
"35718232","98433398","Chasely Apartments","2","2","94.00","49","0.14"
"867169323995778753","94947389","Cheng","3","2","205.00","50","4.23"
"674920544702579361","94947389","Cheng","2","1","167.00","57","2.55"
"1118321128227265486","543194443","Chenxiao","3","1.5","208.00","19","1"
"48235113","389181533","Chenzhi","3","3","350.00","30","3.25"
"1151288637259121321","47870729","Chewe","3","2.5","274.00","68",NULL
"1045512008571342356","10093553","Chiara","2","1","161.00","44","3.19"
"945338805945202140","303378389","Chiara","2","2.5","158.00","18","1.75"
"25177458","46778903","Chit","2","1","125.00","35","1.96"
"666216355853478041","14997342","Chris","2","1","500.00","81","1.01"
"796540616046019514","449507012","Chris","3","1","354.00","74","3.09"
"26505560","42632877","Chris","2","2","315.00","76","2.68"
"734307057393056248","42632877","Chris","2","2","245.00","49","3.34"
"49532860","50948256","Chris","2","2","240.00","83",NULL
"1078747902966140088","42632877","Chris","2","2","220.00","88","1.06"
"45855533","352658654","Chris","2","2","200.00","53","1.07"
"1092576193501053373","289989861","Chris","2","1","145.00","21","4"
"9601934","49675364","Christine","4","2","260.00","35","0.78"
"9601472","49675364","Christine","3","1","220.00","68","0.19"
"28993015","183829640","Christine","2","1","200.00","81","0.11"
"24360465","183829640","Christine","2","1","200.00","81","0.26"
"24365052","183829640","Christine","2","1","200.00","81","0.52"
"24366305","183829640","Christine","2","1","200.00","81","0.23"
"40873536","183829640","Christine","2","1","200.00","81","0.08"
"24398500","183829640","Christine","2","1","200.00","73","0.58"
